State,Year,Primary_Fuel,Production_Amount
Queensland,2001-02,Brown coal,0.00
Queensland,2001-02,Crude oil and NGL,701.00
Queensland,2001-02,Naturally occurring LPG,18.00
Queensland,2001-02,Natural gas a,5557.00
Queensland,2001-02,Ethane,0.00
Queensland,2001-02,Liquid/gas biofuels,0.00
Queensland,2001-02,Wood,501.00
Queensland,2001-02,Bagasse,0.00
Queensland,2001-02,Hydro-electricity,594.00
Queensland,2001-02,Wind b,0.00
Queensland,2001-02,Solar PV,0.00
Queensland,2001-02,Solar hotwater,0.40
Queensland,2002-03,Black coal,153601.70
Queensland,2002-03,Brown coal,0.00
